id_objects;name_type_object;name_objects;address;location;created_by;osm_id
108;Кафе;Маяковский;;0101000020E610000000C22C59BAF94B4038054367E35C4B40;1;10844336708
109;Кафе;Теория кофе;;0101000020E61000004B15D6D704FA4B40DEEA94A2F05C4B40;1;10844336714
110;Кафе;Хинкальная;;0101000020E6100000ED6305BF0DFA4B4058642AB3F75C4B40;1;10844336715
111;Кафе;Gussi;;0101000020E610000078B3AB3539FA4B40FDAAB7616F5D4B40;1;10844336722
112;Кафе;Баракат;;0101000020E610000060F8D2252DFC4B406CD15D6D205D4B40;1;10881725165
113;Кафе;Family Food;;0101000020E61000000041142752FC4B405464BECD2C5D4B40;1;10881725166
114;Кафе;Брауни;;0101000020E61000004B3FE1ECD6F94B40526342CC255D4B40;1;10964054207
115;Кафе;Red One;;0101000020E610000097D4BFDA07FA4B40C5724BAB215D4B40;1;10964054208
116;Кафе;Не забудь продуть;;0101000020E6100000828472ECEAF94B40D757B2BEDC5C4B40;1;11065621535
117;Кафе;Атмосфера;;0101000020E610000070FB2F2130FC4B409675A49F155D4B40;1;11083646203
118;Кафе;Кофе перемен;;0101000020E6100000136EE81CF2F94B40352493F8815B4B40;1;11085816105
119;Кафе;Goodmancoffee;;0101000020E61000008E8DE5023CFD4B40FF493261EA5C4B40;1;11414466340
120;Кафе;Суши Star;улица Менделеева 23;0101000020E610000028C984A977FE4B40A2A2A0CA1F5B4B40;1;11500580174
121;Кафе;Баракат;;0101000020E6100000355AB33ADEFD4B401833D307DC5C4B40;1;12162487132
122;Кафе;Шоколадница;;0101000020E61000005C397B67B4FF4B40BC7C467DED5B4B40;1;12194099428
123;Кафе;Шоко&Латте;;0101000020E610000062DE3E0686FD4B4067DA594F08594B40;1;12298845262
124;Кафе;Coffee Like;;0101000020E6100000D07355EAA3FA4B40A2AD94AF155D4B40;1;12842516815
125;Кафе;Surf Coffee;;0101000020E61000007B08F4D3C9F94B40DDE5C704A15C4B40;1;13089791675
126;Кафе;Токи;;0101000020E6100000939E33B3E0FD4B4056725F18FA574B40;1;13377840770
